model,accuracy score,balanced accuracy score,weighted precision,weighted recall,weighted f1 score,macro f1 score,num_features
random_forest_d2v_features_763_n_estimators=150_max_depth=None,0.5575,0.3365360592938041,0.8957219485782155,0.5575,0.6517147579756429,0.2980380560325092,763
random_forest_d2v_features_604_n_estimators=150_max_depth=None,0.5525,0.3469238100525575,0.9017931299734748,0.5524999999999999,0.6524206205742558,0.3106441081758222,604
random_forest_d2v_features_556_n_estimators=150_max_depth=None,0.56125,0.3314485944555481,0.8969232076350093,0.5612499999999999,0.6501225893429878,0.2896328334001659,556
random_forest_d2v_features_534_n_estimators=150_max_depth=None,0.5575,0.3382571341328003,0.8952283559641843,0.5575,0.6526917834096017,0.3036177812759965,534
random_forest_d2v_features_516_n_estimators=150_max_depth=None,0.57,0.3288733436967948,0.9044270878850776,0.57,0.6631724744813112,0.2895546394741356,516
random_forest_d2v_features_502_n_estimators=150_max_depth=None,0.53375,0.334636284143904,0.886575237905316,0.53375,0.6314109217797237,0.2925862956885444,502
random_forest_d2v_features_496_n_estimators=150_max_depth=None,0.5775,0.3443306314308979,0.8842369899262721,0.5775,0.6644042205304275,0.3067043091008608,496
random_forest_d2v_features_483_n_estimators=150_max_depth=None,0.55875,0.3356830400103635,0.9116646027964136,0.55875,0.6544157982171722,0.2982951873224346,483
random_forest_d2v_features_472_n_estimators=150_max_depth=None,0.59,0.3430340421200681,0.9120504990858328,0.59,0.6793788941388424,0.3060207350950832,472
random_forest_d2v_features_460_n_estimators=150_max_depth=None,0.56875,0.3315844992227403,0.8832790858813138,0.56875,0.6577640072544015,0.2898449746149443,460
random_forest_d2v_features_451_n_estimators=150_max_depth=None,0.58875,0.3533448765637723,0.908130748594788,0.58875,0.6772281800885445,0.3155840635905698,451
random_forest_d2v_features_442_n_estimators=150_max_depth=None,0.5775,0.3370964495891628,0.9131487359550562,0.5775,0.6728183867841038,0.3029705213030469,442
random_forest_d2v_features_432_n_estimators=150_max_depth=None,0.5075,0.3418444416685173,0.898043034241422,0.5075,0.6113967745636731,0.3054216049860278,432
random_forest_d2v_features_427_n_estimators=150_max_depth=None,0.57375,0.335832824413354,0.8855161361626878,0.57375,0.6630292332864142,0.296991585517634,427
random_forest_d2v_features_424_n_estimators=150_max_depth=None,0.5675,0.3465253488415131,0.8819152687747066,0.5674999999999999,0.6573794645088455,0.3052739475688421,424
random_forest_d2v_features_420_n_estimators=150_max_depth=None,0.5425,0.3365690234288252,0.89843005703077,0.5425,0.6386485406978679,0.29989919304321,420
random_forest_d2v_features_416_n_estimators=150_max_depth=None,0.5425,0.3331118374787178,0.8765111671087533,0.5425,0.6392462039196938,0.2922863931294127,416
random_forest_d2v_features_410_n_estimators=150_max_depth=None,0.57,0.3457330529646902,0.9105876941631514,0.57,0.6688754330981693,0.31193585451795025,410
