model,accuracy score,balanced accuracy score,weighted precision,weighted recall,weighted f1 score,macro f1 score,num_features
random_forest_w2v_features_763_n_estimators=150_max_depth=None,0.90625,0.4886406747353616,0.9064117400419286,0.90625,0.8918104515954421,0.5201215942016817,763
random_forest_w2v_features_604_n_estimators=150_max_depth=None,0.91375,0.4994679472943963,0.9124616863905324,0.91375,0.8989341220740407,0.5286921681078585,604
random_forest_w2v_features_556_n_estimators=150_max_depth=None,0.91375,0.5100673624990747,0.9136751633986928,0.91375,0.899698931880837,0.5452363903205525,556
random_forest_w2v_features_534_n_estimators=150_max_depth=None,0.9125,0.5235606817677104,0.9107640444901997,0.9125,0.8995566750146645,0.5609480693072371,534
random_forest_w2v_features_516_n_estimators=150_max_depth=None,0.91375,0.5074782321045229,0.9141933515674312,0.91375,0.8984142350673875,0.5453904692027878,516
random_forest_w2v_features_502_n_estimators=150_max_depth=None,0.915,0.5230881958324081,0.9149584751060188,0.915,0.9017808324324044,0.5581514339660737,502
random_forest_w2v_features_496_n_estimators=150_max_depth=None,0.91625,0.5192354402620476,0.915039115112214,0.91625,0.9030268516407428,0.5546621768106279,496
random_forest_w2v_features_483_n_estimators=150_max_depth=None,0.9075,0.4960726413872233,0.905150436544168,0.9075,0.8926079803534678,0.5218649758539886,483
random_forest_w2v_features_472_n_estimators=150_max_depth=None,0.9175,0.5096868291509364,0.914130209789579,0.9175,0.9051685691713572,0.5429415662169799,472
random_forest_w2v_features_460_n_estimators=150_max_depth=None,0.90625,0.504067889925235,0.9060910964722212,0.90625,0.8928236060208818,0.5318108894941539,460
random_forest_w2v_features_442_n_estimators=150_max_depth=None,0.90875,0.5114998565770967,0.9050774075165032,0.90875,0.8968742217274637,0.5385232509527884,442
random_forest_w2v_features_432_n_estimators=150_max_depth=None,0.915,0.5190376554519209,0.9130904448621554,0.915,0.9020799934437788,0.5528902228834426,432
random_forest_w2v_features_427_n_estimators=150_max_depth=None,0.92,0.5231032321045229,0.9187074324529216,0.92,0.9066716525806564,0.5574685931167492,427
random_forest_w2v_features_424_n_estimators=150_max_depth=None,0.91125,0.4982043221185876,0.9141809860736748,0.91125,0.898274639181442,0.5289640794627686,424
random_forest_w2v_features_420_n_estimators=150_max_depth=None,0.915,0.5190376554519209,0.915188200280112,0.915,0.9020965585411522,0.552554950800733,420
random_forest_w2v_features_416_n_estimators=150_max_depth=None,0.91375,0.5109354180546302,0.9135888638438714,0.91375,0.8991820914824697,0.5432057572756468,416
random_forest_w2v_features_410_n_estimators=150_max_depth=None,0.9125,0.5001231817677105,0.913148631840796,0.9125,0.9005650568532938,0.5275832825714639,410
random_forest_w2v_features_407_n_estimators=150_max_depth=None,0.915,0.5116207250721742,0.9153180555555556,0.915,0.9022144050706324,0.5463324558179734,407
random_forest_w2v_features_405_n_estimators=150_max_depth=None,0.91625,0.5185501332445037,0.9152875426413256,0.91625,0.9032562607463186,0.5566359195119088,405
random_forest_w2v_features_402_n_estimators=150_max_depth=None,0.915,0.4907873917388408,0.9113429072628584,0.915,0.9011961627396664,0.516162453804131,402
random_forest_w2v_features_397_n_estimators=150_max_depth=None,0.9125,0.5225098776741433,0.9154402985074628,0.9125,0.900747023473838,0.5562042963756674,397
random_forest_w2v_features_394_n_estimators=150_max_depth=None,0.91125,0.5072654110222814,0.9061342694566814,0.91125,0.8956212040160061,0.5441802877059684,394
random_forest_w2v_features_389_n_estimators=150_max_depth=None,0.90875,0.4881681888000592,0.908947205736894,0.90875,0.8950915540947111,0.5171890402830175,389
random_forest_w2v_features_383_n_estimators=150_max_depth=None,0.91625,0.5046762806277296,0.916970464028264,0.91625,0.9030323727299892,0.5365862277733418,383
