model,accuracy score,balanced accuracy score,weighted precision,weighted recall,weighted f1 score,macro f1 score,num_features
random_forest_40_features_n_estimators=200_max_depth=None,0.268,0.1948602381009288,0.2282877551020408,0.268,0.2454386587148552,0.1814317232076824,40
random_forest_100_features_n_estimators=200_max_depth=None,0.364,0.2591516985742566,0.2897737553233492,0.364,0.3167686595316811,0.2328524198650828,100
random_forest_200_features_n_estimators=200_max_depth=None,0.39,0.2985921181414975,0.3468745017541926,0.39,0.3603191908417961,0.2873004093862245,200
random_forest_500_features_n_estimators=200_max_depth=None,0.394,0.3154641574771094,0.3710185823249954,0.394,0.3764928199134092,0.3116766850989792,500
random_forest_1000_features_n_estimators=200_max_depth=None,0.406,0.3278423995504406,0.3730740832723342,0.406,0.3811507359028824,0.3209375469759494,1000
random_forest_2000_features_n_estimators=200_max_depth=None,0.448,0.3840293393720269,0.4258191863661352,0.448,0.4284150264177496,0.3807118748433588,2000
random_forest_5000_features_n_estimators=200_max_depth=None,0.376,0.3086623306536959,0.3454337913188918,0.376,0.3542734237817725,0.3006927271232257,5000
random_forest_10000_features_n_estimators=200_max_depth=None,0.328,0.2641175832622136,0.3022382414080383,0.328,0.3118264268400413,0.2577012725029764,10000
random_forest_15000_features_n_estimators=200_max_depth=None,0.3,0.2367951126046107,0.2780505594914325,0.3,0.2867396948516272,0.2312586065264427,15000
random_forest_20000_features_n_estimators=200_max_depth=None,0.292,0.2320594123751166,0.270816416577367,0.292,0.2796960970064418,0.2266174917036986,20000
random_forest_22546_features_n_estimators=200_max_depth=None,0.296,0.23324217306948014,0.2772643607281911,0.296,0.28532814941549334,0.22823727835799104,22546
